name,brand,family,model,vram_gb,base_ghz,boost_ghz,release_year,process_nm,directx,opengl,shader_model,architecture,bus_interface,memory_type
MSI GeForce RTX 3090 GAMING X TRIO 24G,,,MSI GeForce RTX 3090 GAMING X TRIO 24G,24.0,1395.0,,,,,,,,,
MSI RTX 4090 VENTUS 3X 24G OC,,,MSI RTX 4090 VENTUS 3X 24G OC,24.0,2235.0,2565.0,,,,,,,,
Zotac GAMING Low Profile,,,Zotac GAMING Low Profile,6.0,1040.0,1470.0,,,,,,,,
Zotac Solid Core OC,,,Zotac Solid Core OC,16.0,2300.0,2482.0,,,,,,,,
MSI MECH 2X OC,,,MSI MECH 2X OC,12.0,2321.0,,,,,,,,,
NVIDIA 9001G4012510000,NVIDIA,,9001G4012510000,4.0,1050.0,1178.0,,,,,,,,
PNY XLR8 Gaming VERTO EPIC-X RGB OC,,,PNY XLR8 Gaming VERTO EPIC-X RGB OC,12.0,1980.0,2505.0,,,,,,,,
Gainward Phoenix,,,Gainward Phoenix,12.0,2160.0,2512.0,,,,,,,,
Gigabyte WINDFORCE OC 3X,,,Gigabyte WINDFORCE OC 3X,8.0,1605.0,1785.0,,,,,,,,
PNY VCQP600-PB,,,PNY VCQP600-PB,2.0,1354.0,1455.0,,,,,,,,
Gigabyte Vision OC,,,Gigabyte Vision OC,8.0,1500.0,1815.0,,,,,,,,
AMD 50th Anniversary,AMD,,50th Anniversary,8.0,1680.0,1980.0,,,,,,,,
AMD RADEON PRO WX 7100,AMD,,RADEON PRO WX 7100,8.0,900.0,1080.0,,,,,,,,
AMD 100-438412,AMD,,100-438412,12.0,2150.0,2600.0,,,,,,,,
Asus TUF GAMING V2,,,Asus TUF GAMING V2,12.0,1320.0,1807.0,,,,,,,,
MSI ARMOR OC,,,MSI ARMOR OC,8.0,1257.0,1366.0,,,,,,,,
XFX Speedster MERC 319,,,XFX Speedster MERC 319,16.0,2009.0,2368.0,,,,,,,,
PNY EPIC-X RGB Triple Fan Plus OC,,,PNY EPIC-X RGB Triple Fan Plus OC,16.0,2295.0,2640.0,,,,,,,,
Sparkle ROC OC,,,Sparkle ROC OC,16.0,2100.0,2300.0,,,,,,,,
XFX Speedster QICK 308 Black,,,XFX Speedster QICK 308 Black,8.0,1875.0,2755.0,,,,,,,,
MSI D6 VENTUS XS OCV3,,,MSI D6 VENTUS XS OCV3,4.0,1410.0,1620.0,,,,,,,,
Yeston LP,,,Yeston LP,6.0,1040.0,1470.0,,,,,,,,
Asus ROG Astral LC,,,Asus ROG Astral LC,32.0,2010.0,,,,,,,,,
EVGA FTW3 ULTRA GAMING iCX3,,,EVGA FTW3 ULTRA GAMING iCX3,8.0,1410.0,1800.0,,,,,,,,
MSI GeForce RTX 2070 GAMING 8G,,,MSI GeForce RTX 2070 GAMING 8G,8.0,1410.0,1620.0,,,,,,,,
Zotac GAMING,,,Zotac GAMING,6.0,1365.0,1680.0,,,,,,,,
EVGA SC GAMING,,,EVGA SC GAMING,6.0,1607.0,1835.0,,,,,,,,
Gainward Pegasus,,,Gainward Pegasus,6.0,1040.0,1470.0,,,,,,,,
PNY VCQRTX8000-PB,,,PNY VCQRTX8000-PB,48.0,1395.0,1770.0,,,,,,,,
